Designator,Footprint,Quantity,Value,LCSC Part #
R99,0201,1,0,
REF1,Panel_8HP,1,Panel_8HP,
"REF10, REF13, REF16, REF4, REF6",PanelHole_Potentiometer_RV09,5,PanelHole_Potentiometer_RV09,
"REF11, REF14, REF17, REF3, REF7",PanelHole_ToggleSwitch_MTS-101,5,PanelHole_ToggleSwitch_MTS-101,
"REF12, REF15, REF2, REF5",PanelHole_AudioJack_3.5mm,4,PanelHole_AudioJack_3.5mm,
"REF8, REF9",PanelHole_DPDT_Tayda,2,PanelHole_DPDT_Tayda,
